overall,verified,reviewTime,reviewerID,reviewerName,reviewText,summary,sentiment_label,texto_limpio
1,True,"02 10, 2017",A2CRWP2FB4TKMT,Joanne B. Martin,bought as Xmas present for my collage girl. They have Einsteins shop on campus. She cant use it. They would nor except it. Very disappointed.,disappointing,1,bought xmas present collage girl they einsteins shop campus she cant use they would except very disappointed
1,True,"06 6, 2014",A17NCZFPT37WSH,tr maushardt,Although I used the gift card for other events.  This card could not be used because the recipient was told it had expired.  The gift cards are not reliable.  I will not order another gift card via Amazon.,THIS CARD EXPIRED BEFORE RECIPIENT COULD USE IT!,1,although i used gift card event this card could used recipient told expired the gift card reliable i order another gift card via amazon
1,True,"05 30, 2016",A2BPII513TLOH3,Amazon Customer,It came Within a couple min.,One Star,1,it came within couple min
1,True,"01 12, 2018",A2QVRF04UGWZGJ,Marian Shirley,Card won't be accepted when trying to use it for order,What can we do?,1,card accepted trying use order
1,True,"12 28, 2017",A1BBUPYYRCGE3S,Danielle,"Amazon kept screwing with my codes and I lost my families Christmas gifts because of it. Just give people cash. Im sure theyll appreciate it more than you telling them, Im sorry, amazon made a mistake and your gift card is invalid, throw it out. Sorry you have no gift and I cant afford another.",Amazon screwed up. Just give cash. This isn't worth it.,1,amazon kept screwing code i lost family christmas gift just give people cash im sure theyll appreciate telling im sorry amazon made mistake gift card invalid throw sorry gift i cant afford another
1,True,"09 6, 2013",A11191THGUMUSV,Vidal de la Cruz,"Ordered this only with a birthday card but there was no place to add a personal message. When the card arrived, the recipient had no idea who sent it.",Card cannot be personalized,1,ordered birthday card place add personal message when card arrived recipient idea sent
1,True,"01 15, 2017",A3S81CZFOBMZ9Y,Hueneme Tout,Failed to give me the bonus for sending gift cards,One Star,1,failed give bonus sending gift card
1,True,"03 21, 2014",A2UYWNLA5Y4CZ0,Noel Briggs,"I spent $101 on a gift card for my son, he received $86.
I won't be using this method again.",Cost of gift,1,i spent one hundred and one gift card son received eighty-six i using method
1,True,"02 16, 2013",A2DTGVEBX2WFZ9,Denise Magic,and i have prime for two day ordering. And it was only a gift card.  I find that odd and they didn't tell me it would be late. This is disappointing as it is a gift.,It took a week for this to arrive,1,prime two day ordering and gift card i find odd tell would late this disappointing gift
1,True,"07 9, 2015",A3OO3VOMNCB3CV,The Fist of Karma,Damn thing ran out of money too fast.,One Star,1,damn thing ran money fast
1,True,"02 6, 2017",A2EVHM3GL3JFY1,Amazon Customer,Very nice gift,Great Birthdat Gift,1,very nice gift
1,True,"12 15, 2014",AM1DMJM4309K,sherri,Card didn't work so my niece called and then I had to call to get it too work. It was not easy,Card didn't work so my niece called and then I ...,1,card work niece called i call get work it easy
1,True,"07 8, 2013",A1VYTMSZICD8ZQ,Grandmother Lea,If that's the picture that went on the card it isn't mine.  If not but just a sample it was ok.  I hope you do better next time.  The next additions are fine.,.,1,if picture went card mine if sample ok i hope better next time the next addition fine
