overall,vote,verified,reviewTime,reviewerID,asin,style,reviewerName,reviewText,summary,unixReviewTime,image
1,2,True,"02 10, 2017",A2CRWP2FB4TKMT,B00BXLTMRC,,Joanne B. Martin,bought as Xmas present for my collage girl. They have Einsteins shop on campus. She cant use it. They would nor except it. Very disappointed.,disappointing,1486684800,
1,,True,"06 6, 2014",A17NCZFPT37WSH,B00BWDHVC4,,tr maushardt,Although I used the gift card for other events.  This card could not be used because the recipient was told it had expired.  The gift cards are not reliable.  I will not order another gift card via Amazon.,THIS CARD EXPIRED BEFORE RECIPIENT COULD USE IT!,1402012800,
1,,True,"05 30, 2016",A2BPII513TLOH3,B00P9VHCBU,,Amazon Customer,It came Within a couple min.,One Star,1464566400,
1,,True,"01 12, 2018",A2QVRF04UGWZGJ,B01E4QPDV6,{'Gift Amount:': ' 0'},Marian Shirley,Card won't be accepted when trying to use it for order,What can we do?,1515715200,
1,3,True,"12 28, 2017",A1BBUPYYRCGE3S,B01E4QUN0W,{'Gift Amount:': ' 25'},Danielle,"Amazon kept screwing with my codes and I lost my families Christmas gifts because of it. Just give people cash. Im sure theyll appreciate it more than you telling them, Im sorry, amazon made a mistake and your gift card is invalid, throw it out. Sorry you have no gift and I cant afford another.",Amazon screwed up. Just give cash. This isn't worth it.,1514419200,
1,,True,"09 6, 2013",A11191THGUMUSV,B004Q7CK9M,{'Gift Amount:': ' 50'},Vidal de la Cruz,"Ordered this only with a birthday card but there was no place to add a personal message. When the card arrived, the recipient had no idea who sent it.",Card cannot be personalized,1378425600,
1,3,True,"01 15, 2017",A3S81CZFOBMZ9Y,B004Q7CK9M,{'Gift Amount:': ' 50'},Hueneme Tout,Failed to give me the bonus for sending gift cards,One Star,1484438400,
1,,True,"03 21, 2014",A2UYWNLA5Y4CZ0,B007V6ETDK,,Noel Briggs,"I spent $101 on a gift card for my son, he received $86.
I won't be using this method again.",Cost of gift,1395360000,
1,2,True,"02 16, 2013",A2DTGVEBX2WFZ9,B004Q7CK9M,{'Gift Amount:': ' 25'},Denise Magic,and i have prime for two day ordering. And it was only a gift card.  I find that odd and they didn't tell me it would be late. This is disappointing as it is a gift.,It took a week for this to arrive,1360972800,
1,,True,"07 9, 2015",A3OO3VOMNCB3CV,B004LLIKY2,,The Fist of Karma,Damn thing ran out of money too fast.,One Star,1436400000,
1,,True,"02 6, 2017",A2EVHM3GL3JFY1,B00JDQJZWG,{'Gift Amount:': ' 150'},Amazon Customer,Very nice gift,Great Birthdat Gift,1486339200,
1,,True,"12 15, 2014",AM1DMJM4309K,B00H5BO5VW,,sherri,Card didn't work so my niece called and then I had to call to get it too work. It was not easy,Card didn't work so my niece called and then I ...,1418601600,
1,,True,"07 8, 2013",A1VYTMSZICD8ZQ,B0066AZGJI,,Grandmother Lea,If that's the picture that went on the card it isn't mine.  If not but just a sample it was ok.  I hope you do better next time.  The next additions are fine.,.,1373241600,
1,,True,"08 26, 2016",A25KXEJOZ17CJX,B016PASNX4,,Eager Reader,I don't know how this got on my account. I don't shop at The Gap.  An unknown someone got into my account and stole this $25.00 from me.,I didn't order this.,1472169600,
1,3,False,"10 30, 2014",A31BCGYE0KE6Z1,B0091JKY0M,{'Gift Amount:': ' 50'},Donna Gibson,The box was all bent up . come on Amazon this is your product you could at least make sure the box is nice. Very poor job,come on Amazon this is your product you could at least make sure the box is nice. Very poor,1414627200,
1,6,False,"04 11, 2015",AJM0N3NYE77A,B00910XGTM,,JC,"Be very careful if you decide to buy a Justice gift card, especially if you ever have to return an item. The return policy on the receipt is that you will be given a gift card since you paid with one. What the stores teach and what corporate told me is that you will get a paper merchandise credit instead. The paper certificate cannot be used for online purchases, balance cannot be checked online or by phone and several other major differences. If Justice has a plan to make our credit harder and less likely to be used, they have succeeded!",They Do Not Follow Their Own Return Policies When Gift Cards Are Used,1428710400,
1,,False,"12 9, 2017",A31OF4Y8K202NA,B00FTGTIOE,,Ron K.,My Sister said there was nothing in the gift pkg that I added to tell her who it was from. I was wondering why she never acknowledge she received it to thank me and my wife. I'm very disappointed !!.,I'm very disappointed!!,1512777600,
1,,True,"12 17, 2016",A1RUYF9RZN0OUA,B00MV9OQYO,,Amazon Customer,Took to long to recoeve,One Star,1481932800,
1,6,True,"12 25, 2017",A22UG7YDL7YJA0,B005ESMFP6,{'Gift Amount:': ' 10'},P &amp; L,"Given as a gift. When removing the protective tape across the claim number it is unreadable, so basically a waste of money. If it were possible, I'd give it a zero star rating.",so basically a waste of money,1514160000,
